"mpi_name","mpi_group","mpi_item","has_range"
"Multi Point Inspection","Brakes","Driver Front","1"
"Multi Point Inspection","Brakes","Passenger Front","1"
"Multi Point Inspection","Brakes","Driver Rear","1"
"Multi Point Inspection","Brakes","Passenger Rear","1"
"Multi Point Inspection","Tires","Driver Front","1"
"Multi Point Inspection","Tires","Passenger Front","1"
"Multi Point Inspection","Tires","Driver Rear","1"
"Multi Point Inspection","Tires","Passenger Rear","1"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Interior Bulbs","0"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Front Wipers","0"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Rear Wipers","0"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Headlights","0"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Signal Markers","0"
"Multi Point Inspection","Interior/Bulbs/Wipers/Exterior","Brake Lights/Tail Lights","0"
"Multi Point Inspection","Steering/Suspension","Upper Control Arms/Ball Joints","0"
"Multi Point Inspection","Steering/Suspension","Lower Control Arms/Ball Joints","0"
"Multi Point Inspection","Steering/Suspension","Rear Suspension","0"
"Multi Point Inspection","Steering/Suspension","Front Shocks/Struts/Springs/Mounts","0"
"Multi Point Inspection","Steering/Suspension","Rear shocks/Struts/Springs/Mounts","0"
"Multi Point Inspection","Steering/Suspension","Power Steering Gear/Pinion/Rack","0"
"Multi Point Inspection","Steering/Suspension","Inner/Outer Tie Rod Ends","0"
"Multi Point Inspection","Steering/Suspension","Stabilizer Bar/Bushings","0"
"Multi Point Inspection","Steering/Suspension","Power Steering Fluid","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Front  Rotors","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Front Calipers","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Rear Rotors","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Rear Calipers","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Brake Lines","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Master Cylinder","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Brake Fluid","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Front Wheels/Rims","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Rear Wheels/Rims","0"
"Multi Point Inspection","Brakes/Wheels/Tires","Wheel Alignment","0"
"Multi Point Inspection","Brakes/Wheels/Tires","TPMS Sensors","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Engine Oil Condition","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Engine Air Filter","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Cabin Air Filter","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Engine Oil Pan/Gasket","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Transmission/Transaxle","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","CV Axles/ Drive Axles Front","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","CV Axles/ Drive Axles Rear","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Front Hubs/Bearings","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Rear Hubs/Bearings","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Catalytic Converter","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Exhaust Pipes/Resonator/Muffler/TailPipe","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Oxygen/Fuel/Emission Sensors","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Oxygen/Fuel/Emission Sensors","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Oxygen/Fuel/Emission Sensors","0"
"Multi Point Inspection","Engine/Transmission/Emissions/Exhaust ","Engine Sensors","0"
"Multi Point Inspection","Electrical/Charging/Battery","Battery CCA Level","0"
"Multi Point Inspection","Electrical/Charging/Battery","Battery Terminals/Connectors/Cables","0"
"Multi Point Inspection","Electrical/Charging/Battery","Alternator","0"
"Multi Point Inspection","Electrical/Charging/Battery","Serpentine Belt","0"
"Multi Point Inspection","Electrical/Charging/Battery","Accessories Belt ","0"
"Multi Point Inspection","Electrical/Charging/Battery","Pulley/Tensioner/Idler","0"
"Multi Point Inspection","HVAC/Cooling System","A/C System","0"
"Multi Point Inspection","HVAC/Cooling System","Heater/Blower Motor","0"
"Multi Point Inspection","HVAC/Cooling System","Radiator","0"
"Multi Point Inspection","HVAC/Cooling System","Coolant/AntiFreeze","0"
"Multi Point Inspection","HVAC/Cooling System","Cooling/Radiator Lines","0"
"Multi Point Inspection","HVAC/Cooling System","Fans/Thermostats","0"
"USED CAR INSPECTION","Brakes","Driver Front","1"
"USED CAR INSPECTION","Brakes","Passenger Front","1"
"USED CAR INSPECTION","Brakes","Driver Rear","1"
"USED CAR INSPECTION","Brakes","Passenger Rear","1"
"USED CAR INSPECTION","Tires","Driver Front","1"
"USED CAR INSPECTION","Tires","Passenger Front","1"
"USED CAR INSPECTION","Tires","Driver Rear","1"
"USED CAR INSPECTION","Tires","Passenger Rear","1"
"USED CAR INSPECTION","USED CAR INSPECTION","HEADLIGHTS (high/low) Tail Lights/ Brake Lights/ Hazard/ Turn Signals","0"
"USED CAR INSPECTION","USED CAR INSPECTION","INTERIOR LIGHTS","0"
"USED CAR INSPECTION","USED CAR INSPECTION","WINDSHILED WASHER SPRAY/WIPERS/BLADES/WINDSHIELD CONDITION","0"
"USED CAR INSPECTION","USED CAR INSPECTION","PARKING BRAKE","0"
"USED CAR INSPECTION","USED CAR INSPECTION","HORN OPERATION","0"
"USED CAR INSPECTION","USED CAR INSPECTION","CLUTCH OPERATION (if applicable)","0"
"USED CAR INSPECTION","USED CAR INSPECTION","BATTERY CONDITION","0"
"USED CAR INSPECTION","USED CAR INSPECTION","CHECK FLUID LEVELS (engine oil/coolant/steering/brake fluid/ATF)","0"
"USED CAR INSPECTION","USED CAR INSPECTION","EXTERNAL DRIVE BELTS","0"
"USED CAR INSPECTION","USED CAR INSPECTION","RADIATOR HOSES","0"
"USED CAR INSPECTION","USED CAR INSPECTION","HYDRAULIC CLUTCH RESERVOIR (M/T vehicles)","0"
"USED CAR INSPECTION","USED CAR INSPECTION","ENGINE AIR FILTER ","0"
"USED CAR INSPECTION","USED CAR INSPECTION","BRAKE LINES/HOSES/PARKING BRAKE CABLE","0"
"USED CAR INSPECTION","USED CAR INSPECTION","SHOCK ABSORBERS/STRUTS/SUSPENSION/TIE ROD ENDS/STEERING GEAR AND SEALS","0"
"USED CAR INSPECTION","USED CAR INSPECTION","EXHAUST SYSTEM","0"
"USED CAR INSPECTION","USED CAR INSPECTION","ENGINE OIL and/or FLUID LEAKS","0"
"USED CAR INSPECTION","USED CAR INSPECTION","DRIVE SHAFT BOOTS/ C.V.BOOTS AND BANDS","0"