"id","code","description","labor_hours","taxable_labor","parts","taxable_parts","shop_supplies","taxable_shop_supplies"
"1","MISC","","0","1",,"1","0","1"
"2","CCAF","REPLACE CABIN AIR FILTER","0.3","0","37.99","1","1.2","1"
"3","XL59","OIL & FILTER WITH TIRE ROTATION SPECIAL-CONV.-UP TO 5 QTS-$49.95","0.5","0","23.54","1","5.02","1"
"4","XL59S","OIL & FILTER WITH TIRE ROTATION SPECIAL-0W20-UP TO 5 QTS-$59.95","0.5","0","20.64","1","6.51","1"
"5","AF","REPLACE ENGINE AIR FILTER","0.2","0","27.99","1","0","1"
"6","FB","REPLACE FRONT BRAKE PADS, SHIMS (IF APPLICABLE) & RESURFACE ROTORS","1.8","0","90","1","16.08","1"
"7","RB","REPLACE REAR BRAKE PADS, SHIM (IF APPLICABLE), & RESURFACE ROTORS","1.8","0","90","1","16.08","1"
"8","ACRS","PERFORM TOYOTA A/C REFRESHER SERVICE","0.3","0","35","1","2.49","1"
"9","ADC","AXLE/DRIVESHAFT/DIFFERENTIAL","0","0","0","1","0","1"
"10","ALIGNMENT","PERFORM 4 WHEEL ALIGNMENT-$99.95","1.2","0","0","1","0","1"
"11","ALIGN4C","PERFORM 4 WHEEL ALIGNMENT-COUPON-$79.95","1","0","0","1","0","1"
"12","ATC","AUTOMATIC TRANSMISSION CONCERN","0","0","0","1","0","1"
"13","BATT","REPLACE BATTERY WITH 84 MONTH TRUE START TOYOTA BATTERY","0.3","0","124.99","1","5.08","1"
"14","BELT","REPLACE SERPENTINE BELT","0","0","0","1","0","1"
"15","BGB","PERFORM BG BATTERY SERVICE WITH ANTI CORROSION PADS","0.3","0","14.99","1","6.08","1"
"16","BGBF","PERFORM BG BRAKE FLUID EXCHANGE","0.8","0","45","1","7.08","1"
"17","BGCF","PERFORM BG COOLING SYSTEM EXCHANGE","0.8","0","63.45","1","11.28","1"
"18","BGDIFF","PERFORM BG DIFFERENTIAL/T-CASE SERVICE","0.5","0","75.99","1","7.98","1"
"19","BGE","INSTALL BG ETHANOL DEFENDER","0","0","29.99","1","0","1"
"20","BGFRIGI","PERFORM BG FRIGI-CHARGE SERVICE WITH FRIGI-FRESH","0.3","0","39.99","1","3","1"
"21","BGIS","PERFORM BG FUEL/AIR INDUCTION SERVICE","0.8","0","57.99","1","12.77","1"
"22","BGPS","PERFORM BG POWER STEERING FLUID EXCHANGE","0.5","0","57.99","1","7.78","1"
"23","BGTF","PERFORM BG TRANSMISSION FLUID EXCHANGE","1","0","117.86","1","14.38","1"
"24","BRK","PERFORM 4 WHEEL BRAKE SERVICE-CLEAN & LUBRICATE CALIPER SLIDES","1","0","0","1","9.99","1"
"25","BSC","BRAKE SYSTEM CONCERN","0","0","0","1","0","1"
"26","BULB","REPLACE BULB","0","0","0","1","1","1"
"27","CAF","REPLACE CABIN AIR FILTER-STANDARD","0.1","0","27.99","1","1.2","1"
"28","DRUMS","CLEAN & ADJUST REAR DRUM BRAKES","0.5","0","0","1","5.99","1"
"29","EVAC","PERFORM EVAC/RECHARGE-$149.95","1","0","49.95","1","12.58","1"
"30","FBR","REPLACE FRONT BRAKE PADS WITH ROTORS","1","0","292.93","1","10.7","1"
"31","HSS","PERFORM HYBRID SYSTEM SERVICE-CHANGE INVERTER COOLANT & TRANSMISSION FLUID","1.5","0","56.46","1","22.11","1"
"32","KEY","CUT AND PROGRAM KEY","0.5","0","0","1","7","1"
"33","HVAC","AC/HEATING CONCERN","0","0","0","1","0","1"
"34","LOF","PERFORM OIL AND FILTER CHANGE-CONV OIL-UP TO 5 QTS-$39.99","0.3","0","23.54","1","4.02","1"
"35","LOFS","PERFORM OIL AND FILTER CHANGE-0W20-UP TO 5 QTS-$49.99","0.3","0","28.54","1","4.51","1"
"36","MOA","INSTALL BG MOA ENGINE OIL SUPPLEMENT","0","0","19.99","1","0","1"
"37","NITROGEN","NITRO FILL TIRES","0.2","0","2","1","2.78","1"
"38","PCV","REPLACE POSITIVE CRANKCASE VENTILATION VALVE","0","0","0","1","3","1"
"39","PLUGS","REPLACE SPARK PLUGS","0","0","0","1","5","1"
"40","RBD","REPLACE REAR BRAKE SHOES, AND RESURFACE DRUMS","1.8","0","94.99","1","16.08","1"
"41","RBR","REPLACE REAR BRAKE PADS WITH ROTORS-$399.95","1","0","292.93","1","13.37","1"
"42","RFR","RESURFACE FRONT ROTORS, AND CLEAN & LUBRICATE CALIPER SLIDES-$139.95","1.8","0","0","1","16.57","1"
"43","ROT","ROTATE TIRES, AND ADJUST AIR PRESSURES","0.3","0","0","1","2.29","1"
"44","ROTB","ROTATE & BALANCE TIRES, AND ADJUST AIR PRESSURES-$69.95","0.8","0","0","1","66.99","1"
"45","RRR","RESURFACE REAR ROTORS, AND CLEAN & LUBRICATE CALIPER SLIDES-$139.95","1.8","0","0","1","16.57","1"
"46","RWB","REPLACE REAR WIPER BLADE","0","0","21.95","1","0","1"
"47","SUS","STEERING/SUSPENSION CONCERN","0","0","0","1","0","1"
"48","TR","REPAIR TIRE","0.2","0","0","1","1.99","1"
"49","TIRE1","MOUNT AND BALANCE 1 TIRE","0.3","0","0","1","4.98","1"
"50","TIRE2","MOUNT AND BALANCE 2 TIRES","0.6","0","0","1","7.38","1"
"51","TIRE3","MOUNT AND BALANCE 3 TIRES","0.9","0","0","1","9.78","1"
"52","TIRE4","MOUNT AND BALANCE 4 TIRES","1.2","0","0","1","12.18","1"
"53","WB","REPLACE FRONT WIPER BLADES-$39.98","0","0","39.98","1","0","1"
"54","44K","INSTALL BG 44K FUEL SYSTEM CLEANER","0","0","29.99","1","0","1"
"55","4X4","PERFORM BG 4X4 SERVICE-FRONT DIFFERENTIAL, TRANSFER CASE, AND REAR DIFFERENTIAL-$389.97","1.5","0","227.97","1","25.37","1"
"56","EMC","ENGINE MECHANICAL CONCERN","0","0","0","1","0","1"
"57","EPC","ENGINE PERFORMANCE CONCERN","0","0","0","1","0","1"